Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AT1,LM386MX-1_NOPB,SOIC127P600X175-8N,145.415,-57.15,0,top
C1,220n,C_0402_1005Metric,145.57,-53.34,180,top
C2,47n,C_0402_1005Metric,150.495,-54.61,0,top
C3,47n,C_0402_1005Metric,153.67,-57.15,270,top
C4,220uF_E,CP_Elec_6.3x7.7,144.145,-83.82,270,top
C5,47n,C_0402_1005Metric,147.165,-61.595,180,top
C6,2.2n,C_0402_1005Metric,150.495,-59.055,0,top
C7,33n,C_0402_1005Metric,151.285,-73.025,0,top
C8,1.5n,C_0402_1005Metric,153.035,-61.595,180,top
C9,100p,C_0402_1005Metric,153.035,-62.865,0,top
C10,1n,C_0402_1005Metric,156.21,-64.77,180,top
C11,470p,C_0603_1608Metric,156.845,-66.675,0,top
C12,470p,C_0603_1608Metric,160.02,-67.31,90,top
C13,100n,C_0402_1005Metric,164.465,-62.865,0,top
C14,100u_T,CAPPM3528X210N,163.195,-70.665,90,top
C15,100p,C_0402_1005Metric,165.1,-55.88,90,top
C16,33n,C_0402_1005Metric,154.432,-76.99,90,top
D1,ZMM5V1,D_MiniMELF,144.145,-73.66,0,top
D2,1N4148WS,D_SOD-323F,150.495,-76.2,180,top
D3,1N4148WS,D_SOD-323F,158.115,-72.39,270,top
D4,RedLED,D_0805_2012Metric,159.385,-75.565,0,top
IC1,CD4024BM96,SOIC127P600X175-14N,147.32,-67.31,0,top
IC2,TL074IDR,SOIC127P600X175-14N,159.385,-59.055,0,top
Q1,"BC817-40W,115",SOT65P210X110-3N,154.625,-73.66,0,top
R1,100k,R_0402_1005Metric,142.875,-70.485,270,top
R2,10,R_0603_1608Metric,150.876,-57.15,0,top
R3,1k,R_0402_1005Metric,148.844,-72.898,0,top
R4,1.5k,R_0402_1005Metric,153.67,-59.18,90,top
R5,330k,R_0402_1005Metric,151.255,-74.295,180,top
R6,150k,R_0402_1005Metric,154.94,-62.23,90,top
R7,1k,R_0402_1005Metric,153.922,-66.802,180,top
R8,560k,R_0603_1608Metric,159.385,-64.77,0,top
R9,100,R_0402_1005Metric,155.065,-71.12,0,top
R10,1k,R_0402_1005Metric,160.655,-73.025,270,top
R11,100,R_0402_1005Metric,151.763,-90.17,0,top
R12,10k,R_0402_1005Metric,163.83,-55.88,270,top
